,name,address,g_rating,lat,long
110,Luigi's Gourmet Pizza,"936 8th Ave, New York, NY 10019, USA",4.1,40.7655549,-73.8884726
111,Luigi's Pizza,"686 5th Ave, Brooklyn, NY 11215, USA",4.6,40.6616168,-73.8884726
112,Luigi's,"1701 1st Avenue, New York, NY 10128, USA",4.1,40.77844,-73.8884726
113,Lunetta,"245 3rd Ave, New York, NY 10010, USA",4.1,40.7369594,-73.8884726
114,Luzzo's La Pizza Napoletana,"213 1st Avenue, New York, NY 10003, USA",4.3,40.7305745,-73.8884726
115,Mama's TOO!,"2750 Broadway, New York, NY 10025, USA",4.4,40.8008324,-73.8884726
116,Mani In Pasta,"245 E 14th St, New York, NY 10003, USA",4.5,40.73266539999999,-73.8884726
117,Marabella,"4107 Greenpoint Ave, Sunnyside, NY 11104, USA",4.3,40.740189,-73.8884726
118,La Pizza & La Pasta at Eataly NYC Downtown,"101 Liberty St 3rd floor, New York, NY 10281, USA",4.4,40.7105031,-73.8884726
119,Marinara Pizza Midtown East,"985 1st Avenue, New York, NY 10022, USA",4.6,40.7565439,-73.8884726
120,Mama Rosa,"77-09 37th Ave, Jackson Heights, NY 11372, USA",4.4,40.7495109,-73.8884726
121,Mario's,"2342 Arthur Ave, The Bronx, NY 10458, USA",4.4,40.8541619,-73.8884726
122,Marta,"29 E 29th St, New York, NY 10016, USA",4.4,40.7446372,-73.8884726
123,Arlo NoMad,"11 E 31st St, New York, NY 10016, USA",4.4,40.7463,-73.8884726
124,Milkflower,"34-12 31st Ave, Astoria, NY 11106, USA",4.6,40.762849,-73.8884726
125,Mona Lisa Pizzeria,"839 Annadale Rd, Staten Island, NY 10312, USA",4.5,40.541357,-73.8884726
126,Monte's,"451 Carroll St, Brooklyn, NY 11215, USA",4.4,40.677607,-73.8884726
127,Motorino Pizzeria,"139 Broadway, Brooklyn, NY 11211, USA",4.4,40.71046390000001,-73.8884726
128,Mr. Phil's Pizza,"7212 New Utrecht Ave, Brooklyn, NY 11228, USA",3.8,40.6178782,-73.8884726
129,My Little Pizzeria,"114 Court St, Brooklyn, NY 11201, USA",4.4,40.6902516,-73.8884726
130,My Pie Pizzeria Romana,"690 Lexington Ave, New York, NY 10022, USA",4.6,40.76069899999999,-73.8884726
131,Napoli's Best Pizza,"521 E Tremont Ave, The Bronx, NY 10457, USA",4.4,40.8468633,-73.8884726
132,New Park Pizza,"156-71 Cross Bay Blvd, Howard Beach, NY 11414, USA",4.5,40.6627264,-73.8884726
133,Nick's Pizza,"108-26 Ascan Ave, Forest Hills, NY 11375, USA",4.4,40.7180135,-73.8884726
134,Not Ray's Pizza,"694 Fulton St, Brooklyn, NY 11217, USA",4.3,40.6859822,-73.8884726
135,Numero 28 Pizzeria,"28 Carmine St, New York, NY 10014, USA",4.4,40.7300735,-73.8884726
136,Nunzio's,"2155 Hylan Blvd, Staten Island, NY 10306, USA",4.3,40.5779097,-73.8884726
137,NY Pizza Suprema,"413 8th Ave, New York, NY 10001, USA",4.6,40.75011620000001,-73.8884726
138,Olga's Pizza,"3409 Broadway, New York, NY 10031, USA",4.4,40.8224179,-73.8884726
