,name,address,pro_review_score,sentiment,g_rating,appearance_scores,laty,longy,QuORP,yelp_sentiment,yelp_popularity,overall_score
64,Front Street Pizza,"80 Front St, Brooklyn, NY 11201, USA",0.5255681818181818,0.84036376382514,4.3,0.4352450094208652,40.702346,-73.98920109999997,2.3807049749449383,2.1618193049599066,0.3854061681112679,17.677768807557033
65,Full Moon,"600 E 187th St, The Bronx, NY 10458, USA",0.17045454545454547,0.8085409899021114,4.5,0.4352450094208652,40.8553028,-73.88759139999998,3.0545316530196267,3.5094726611092826,0.8312603648424544,20.41291554015201
66,Georgio's Pizzeria,"20 Beaver St, New York, NY 10004, USA",0.46875,0.2968712034836457,4.1,0.4352450094208652,40.704830799999996,-74.0123163,2.797218027721801,2.9948454105136326,0.3588376432951213,17.054926691348587
67,Gianni's Pizzeria,"81-13 Northern Blvd, Jackson Heights, NY 11372, USA",0.46875,0.7899332511793606,4.0,0.4352450094208652,40.7557575,-73.88575569999998,3.1895021976724864,3.779413750415004,0.1623529411764706,19.217653322907182
68,Giardini Pizza,"363 Smith St, Brooklyn, NY 11231, USA",0.46875,0.8852126285010821,4.1,0.4352450094208652,40.6795626,-73.99514659999998,2.884397287441036,3.169203929952101,0.12625628140703518,18.42733428975396
69,Gino's Pizza,"8635 Broadway, Queens, NY 11373, USA",0.46875,0.08073052412648166,4.4,0.4352450094208652,40.7375017,-73.8769781,2.2732487859168256,1.9469069269036816,0.2662429378531073,14.59482819063364
70,Giovanni,"4559 47th St, Woodside, NY 11377, USA",0.46875,0.7512870518507505,3.6,0.4352450094208652,40.7411629,-73.9179587,2.8175906909931636,3.035590737056359,0.7325025960539979,19.1104734161763
71,Giuseppina's Brick Oven Pizza,"691 6th Ave, Brooklyn, NY 11215, USA",0.96875,0.9842021191397948,4.6,0.7827950167967014,40.660397700000004,-73.9905555,3.4428296155961773,4.2860685862623855,0.2754528419737664,24.51660562141663
72,Gloria Pizza,"108-22 Queens Blvd, Forest Hills, NY 11375, USA",0.46875,0.8978713664425363,4.1,0.4352450094208652,40.720763,-73.84326290000001,2.9201320750414945,3.24067350515302,0.08750525872949096,18.474129192147288
73,Golden Pizza,"504 E 138th St, The Bronx, NY 10454, USA",0.46875,0.9326867720888112,4.4,0.4352450094208652,40.807466,-73.91947629999999,1.2160722459816649,-0.16744615296663934,0.0023584905660377358,12.658925702886355
74,Gran Torino,"131 Berry St, Brooklyn, NY 11249, USA",0.0,0.4140550537668316,4.4,0.4352450094208652,40.7183171,-73.9589666,2.9241982824659107,3.2488059200018524,0.08192378235174241,15.913917550972393
75,Grimaldi's Pizzeria,"1 Front St, Brooklyn, NY 11201, USA",0.12784090909090912,0.9772749950788348,4.1,0.7827950167967014,40.70261,-73.9932413,2.490926047151256,2.3822614493725425,0.17248335686907404,17.83252603163518
